Svid,time,A,P,X,Y,Z,x,y,z,lat_bot,long_bot,lat_top,long_top,x_bot_ECEF,y_bot_ECEF,z_bot_ECEF,x_top_ECEF,y_top_ECEF,z_top_ECEF
7,315780,6.13826598372378e+18,22947205.8068356,2991659.52184921,-23693023.0659685,11389564.5256247,4990247.69756565,-4068762.53006581,-483020.531205609,-0.0652459247245913,-0.696586663278073,0.0643632943793808,-0.86451123417754,4980353.23607893,-4165916.85752419,-424242.621369035,4828223.33364186,-5659689.75030953,479482.932658092
16,315780,4.22005786113039e+18,22291914.5796994,26794888.1157198,326641.564709918,509573.074494433,4990247.69756565,-4068762.53006581,-483020.531205609,-0.0737583971414842,-0.674628955059923,-0.0561339673835093,-0.532950622154619,5067620.36364893,-4053165.66046355,-479498.362890176,6411754.54251513,-3782213.5713478,-418310.51637863
4,315780,1.12023354285137e+19,23218053.2464749,5844259.91306947,-16785689.9794713,-19714557.2847613,4990247.69756565,-4068762.53006581,-483020.531205609,-0.0887317087784901,-0.691021432760878,-0.274985658618787,-0.788276740270936,4994403.46141549,-4130645.1898403,-576604.350929022,5058688.1604754,-5087895.96355372,-2024234.1742713
1,315780,1.51154799968892e+19,20840140.5498325,14769899.5666931,-21094018.1732582,5501664.43950748,4990247.69756565,-4068762.53006581,-483020.531205609,-0.0717195959333808,-0.687052353280679,-0.0207355824504522,-0.735688035020703,5017624.02770697,-4116421.59047671,-466267.510367802,5526913.98765632,-5003037.17564094,-154606.112821972
9,315780,1.53456649807471e+19,24576398.4570889,-4702354.17832438,-22835787.3528792,-12756416.49095,4990247.69756565,-4068762.53006581,-483020.531205609,-0.091065331927293,-0.712282897304829,-0.241283726460593,-0.990828861178301,4904401.46133181,-4234979.86437654,-591724.557476671,3965450.79907325,-6052996.38993257,-1780684.28285539
26,315780,1.94122661955e+19,23609060.0186174,23580953.4785856,5706904.53846257,-11098555.0427463,4990247.69756565,-4068762.53006581,-483020.531205609,-0.0831935861835336,-0.667832709207201,-0.186886869016375,-0.457928890479348,5091262.98099037,-4015645.03193396,-540701.570323712,6569904.85671507,-3238121.52847309,-1385025.29029728
22,315780,-5.52443939821399e+18,20765251.165848,23154343.3428704,-9703281.41175073,-8240354.52085677,4990247.69756565,-4068762.53006581,-483020.531205609,-0.0775878617629958,-0.681013174726246,-0.12129117175936,-0.632086843895288,5040179.61994611,-4084251.45750516,-504344.939875008,5971793.49957735,-4373238.92474407,-902208.954402056
11,315810,3.52950293814012e+18,22501706.6979304,12742545.9144314,-15922240.8158684,16683009.2513757,4964744.30810163,-4028142.29001579,-470423.948176141,-0.0621027601740145,-0.684346006042375,0.102792246883398,-0.723843062386821,4996239.34770546,-4076305.6558464,-400963.696384438,5522811.89171534,-4881559.63845831,760357.640359429
27,315810,2.42461506707238e+19,25081639.0710004,18570603.7862886,5822026.48047505,18085511.7634432,4964744.30810163,-4028142.29001579,-470423.948176141,-0.0334261266005085,-0.647158123749774,0.241606012781972,-0.405533420031959,5151361.77199137,-3893037.74055443,-215911.422293066,6609267.92942691,-2837564.41854189,1772409.34305947
8,315810,2.04864627487257e+19,24106297.6058137,14122349.3333239,-5822240.70702163,21760592.7718868,4964744.30810163,-4028142.29001579,-470423.948176141,-0.0478678199146236,-0.6767026728304,0.231677508462385,-0.622301534838487,5031183.24483188,-4041158.57439221,-309136.678279114,5859297.72447673,-4203397.37732578,1701195.36731639
